2022-09-18T16:56:05,dense.1.relu,769,1,2.7142655849456787,0.05,0.1,128,32,4096,3930028908,8.065958261489868,1024,1024,1,1
2022-09-18T16:56:07,dense.1.relu,769,9,1.0410470962524414,0.05,0.1,128,32,36864,3930028908,8.000087141990662,1024,1024,1,1
2022-09-18T16:56:12,dense.2.relu,1282,1,3.4534475803375244,0.05,0.1,128,32,4096,3930028908,7.949223279953003,1024,1024,1,1
2022-09-18T16:56:15,dense.4.relu,2308,1,1.8733203411102295,0.05,0.1,128,32,4096,3930028908,8.004514455795288,1024,1024,1,1
2022-09-18T16:56:17,dense.2.tanh,1282,14,1.0639996528625488,0.05,0.1,128,32,57344,3930028908,7.871932864189148,1024,1024,1,1
2022-09-18T16:56:19,suffix.2-dense.2.tanh,1794,10,1.0139992237091064,0.05,0.1,128,32,40960,3930028908,7.800284743309021,1024,1024,1,1
2022-09-18T16:56:21,suffix.2-dense.2.relu,1794,15,1.044010877609253,0.05,0.1,128,32,61440,3930028908,7.91601288318634,1024,1024,1,1
2022-09-18T16:56:23,suffix.4-dense.2.tanh,2818,1,1.0170156955718994,0.05,0.1,128,32,4096,3930028908,8.026700735092163,1024,1024,1,1
2022-09-18T16:56:25,suffix.2-dense.1.tanh,1025,16,1.024998664855957,0.05,0.1,128,32,65536,3930028908,7.911940574645996,1024,1024,1,1
2022-09-18T16:56:26,suffix.2-dense.4.tanh,3332,14,1.024000883102417,0.05,0.1,128,32,57344,3930028908,7.853177428245544,1024,1024,1,1
2022-09-18T16:56:28,suffix.2-dense.2.tanh,1794,18,1.0110101699829102,0.05,0.1,128,32,73728,3930028908,7.825274705886841,1024,1024,1,1
2022-09-18T16:56:30,suffix.2-dense.2.tanh-suffix.2,2306,15,1.0220005512237549,0.05,0.1,128,32,61440,3930028908,7.880379676818848,1024,1024,1,1
2022-09-18T16:56:32,suffix.2-dense.2.tanh-dense.2.relu,1800,9,1.0370395183563232,0.05,0.1,128,32,36864,3930028908,7.857413411140442,1024,1024,1,1
2022-09-18T16:56:34,suffix.2-dense.2.tanh,1794,19,1.070000171661377,0.05,0.1,128,64,155648,3930028908,7.748537063598633,1024,1024,1,1
2022-09-18T16:56:35,suffix.2-dense.2.tanh,1794,21,1.0931313037872314,0.05,0.1,128,64,172032,3930028908,7.8562633991241455,1024,1024,1,1
2022-09-18T16:56:37,suffix.2-dense.2.relu,1794,19,1.008000135421753,0.05,0.1,128,64,155648,3930028908,7.858771800994873,1024,1024,1,1
2022-09-18T16:56:39,attention.2.pos-dense.2.tanh,1794,10,1.0349981784820557,0.05,0.1,128,64,81920,3930028908,7.8597975969314575,1024,1024,1,1
2022-09-18T16:56:41,suffix.2-dense.2.tanh-attention.2,1794,10,1.0249981880187988,0.05,0.1,128,64,81920,3930028908,8.024235725402832,1024,1024,1,1
2022-09-18T16:56:43,suffix.2-dense.2.tanh,1794,18,1.0349986553192139,0.05,0.1,128,128,294912,3930028908,7.869162201881409,1024,1024,1,1
2022-09-18T16:56:45,suffix.2-dense.2.tanh,1794,22,1.078998327255249,0.02,0.1,128,64,180224,3930028908,7.9967029094696045,1024,1024,1,1
2022-09-18T16:56:46,suffix.2-dense.2.tanh,1794,21,1.0190026760101318,0.1,0.1,128,64,172032,3930028908,7.344569206237793,1024,1024,1,1
2022-09-18T16:56:48,suffix.2-dense.2.tanh,1794,15,1.0201034545898438,0.1,0.1,128,64,122880,3930028908,7.269698262214661,1024,1024,1,1
2022-09-18T16:56:49,suffix.2-dense.2.relu,1794,22,1.036771297454834,0.1,0.1,128,64,180224,3930028908,7.511294722557068,1024,1024,1,1
2022-09-18T16:56:51,dense.2.tanh,1282,22,1.002997636795044,0.1,0.1,128,64,180224,3930028908,7.217235684394836,1024,1024,1,1
2022-09-18T16:56:52,dense.2.relu,1282,22,1.0269711017608643,0.1,0.1,128,64,180224,3930028908,7.07174825668335,1024,1024,1,1
