2022-08-28T23:02:49,rec.128.relu-dense.256.relu-dense.64.tanh,115392,211,24.122987985610962,0.1,0.1,16,256,864256,3836082708,2.8884592056274414,1024,1024,1
2022-08-28T23:03:09,rec.128.tanh-dense.256.relu-dense.64.tanh,115392,402,20.008773803710938,0.1,0.1,16,256,1646592,3836082708,2.829307794570923,1024,1024,1
2022-08-28T23:03:29,rec.128.tanh-dense.256.relu-dense.32.tanh,98976,506,20.00302219390869,0.1,0.1,16,256,2072576,3836082708,2.839810848236084,1024,1024,1
2022-08-28T23:03:50,lstm.128-dense.256.relu-dense.64.tanh,263232,602,20.02602767944336,0.1,0.1,16,256,2465792,3836082708,2.593853235244751,1024,1024,1
2022-08-28T23:04:14,dense.128.tanh-dense.256.relu-dense.64.tanh,99008,723,23.599161386489868,0.1,0.1,16,256,2961408,3836082708,3.6717350482940674,1024,1024,1
2022-08-28T23:04:34,lstm.128-dense.256.relu-gru.32.tanh,266336,535,20.031554460525513,0.1,0.1,16,256,2191360,3836082708,2.801729202270508,1024,1024,1
2022-08-28T23:04:55,lstm.128-gru.256.tanh-dense.64.tanh,525888,538,20.020363092422485,0.1,0.1,16,256,2203648,3836082708,2.6150569915771484,1024,1024,1
2022-08-28T23:05:20,lstm.128-dense.256.relu-dense.64.sigmoid,263232,734,20.044015169143677,0.1,0.1,16,256,3006464,3836082708,2.6449639797210693,1024,1024,1
2022-08-28T23:05:40,suffix.2-lstm.128-dense.256.relu-dense.64.tanh,394304,732,20.015450954437256,0.1,0.1,16,256,2998272,3836082708,2.510204315185547,1024,1024,1
2022-08-28T23:06:00,suffix.2-lstm.128-dense.256.relu-dense.64.tanh,394304,701,20.021191358566284,0.1,0.1,16,512,5742592,3836082708,2.4554038047790527,1024,1024,1
2022-08-28T23:06:21,suffix.2-lstm.128-dense.128.relu-dense.64.tanh,369600,699,20.01385235786438,0.1,0.1,16,512,5726208,3836082708,2.4807379245758057,1024,1024,1
2022-08-28T23:06:41,suffix.2-lstm.128-dense.256.relu-dense.128.tanh,427136,697,20.010079622268677,0.1,0.1,16,512,5709824,3836082708,2.4965028762817383,1024,1024,1
2022-08-28T23:07:02,suffix.2-lstm.128-dense.256.relu-rec.64.tanh,398400,640,20.000627994537354,0.1,0.1,16,512,5242880,3836082708,2.58215069770813,1024,1024,1
2022-08-28T23:07:22,suffix.2-lstm.128-dense.256.relu-dense.64.tanh,394304,591,20.020751953125,0.1,0.1,32,512,9682944,3836082708,2.402374267578125,1024,1024,1
